WKT;ID_DATA;ID_AREA;OBJETO;NOMBRE;ETAPA;AÑO;CALLE_A;ALTURA_DES;ALTURA_HAS;DIRECCIONN;CALLE;ALTURA;GEOCODIFIC;BARRIO;COMUNA;CODIGO_POS;CODIGO_P_1
MULTILINESTRING ((-58.4401493359457 -34.6031809126155,-58.4412861555093 -34.6027120151625,-58.4413970598989 -34.6026662581934,-58.4414810473162 -34.6026316236275,-58.4424881233778 -34.6022200184197));131;8957;SENDERO SEGURO;VILLA CRESPO II;V;2013;AV. WARNES;200;400;WARNES AV. 200;WARNES AV.;200;POINT(102134.680465 102879.401178);VILLA CRESPO;COMUNA 15;1414;C1414AAO
MULTILINESTRING ((-58.5013000628126 -34.6189100700121,-58.5016588239331 -34.6186229036126,-58.5021902723787 -34.6181891259025,-58.5024287157579 -34.6180216482086,-58.5032128010751 -34.6172008683606,-58.5033122476962 -34.6170973104988));132;13877;SENDERO SEGURO;MONTE CASTRO;V;2009;AV. SEGUROLA;1900;2100;SEGUROLA AV. 1900;SEGUROLA AV.;1900;POINT(96518.8406097 101137.698784);MONTE CASTRO;COMUNA 10;1407;C1407AOL
MULTILINESTRING EMPTY;189;NA; ;CHACARITA;V;2009;AV. CORRIENTES;6600;6800;NA;NA;NA;NA;NA;NA;NA;NA
MULTILINESTRING ((-58.4731211705141 -34.5620650830306,-58.47401638072 -34.5626005201291,-58.4749789669397 -34.5631840029978,-58.4759135170893 -34.5637479156704,-58.4768257074344 -34.5643009365895,-58.4781481239549 -34.5651028540542,-58.4788475709797 -34.5655270075678,-58.47975988536 -34.5660802880816,-58.480674255303 -34.5666347586582));190;81;SENDERO SEGURO;COGHLAN;V;2011;NAHUEL HUAPI;3500;4200;NA;NA;NA;NA;NA;NA;NA;NA
MULTILINESTRING ((-58.4704391668561 -34.5648675898575,-58.4714228501289 -34.563839731635,-58.4721950705058 -34.5630328072525,-58.4731211705141 -34.5620650830306,-58.4738181147132 -34.561336749614));191;82;SENDERO SEGURO;COGHLAN;V;2011;ROQUE PEREZ;2500;2800;NA;NA;NA;NA;NA;NA;NA;NA
MULTILINESTRING ((-58.4559708818933 -34.5789162813733,-58.455289230166 -34.5775813972108,-58.4547876458668 -34.576605620421,-58.4543218023575 -34.5757082541136));192;108;SENDERO SEGURO;COLEGIALES;V;2011;GREGORIA PEREZ;3200;3400;NA;NA;NA;NA;NA;NA;NA;NA
MULTILINESTRING EMPTY;193;NA;SENDERO SEGURO;FIGUEROA ALCORTA;V;2011;AV. FIGUERAO ALCORTA;3300;3400;NA;NA;NA;NA;NA;NA;NA;NA
MULTILINESTRING ((-58.5242315966157 -34.6344538600104,-58.5241936043365 -34.6345807847016,-58.5228734244657 -34.6359476141484));194;18;SENDERO SEGURO;LINIERS NORTE;V;2009;FRAGUEIRO;300;NA;NA;NA;NA;NA;NA;NA;NA;NA
MULTILINESTRING ((-58.523929777403 -34.6370562099501,-58.5239297804213 -34.63705618163,-58.5227641848526 -34.6369716176558));195;5;SENDERO SEGURO;LINIERS NORTE;V;2009;BYNNON;6600;6700;NA;NA;NA;NA;NA;NA;NA;NA
MULTILINESTRING ((-58.4663417441955 -34.5512449816495,-58.4653317964171 -34.5507398433196,-58.4643916579414 -34.5502697677003,-58.4634499128058 -34.5497986988542,-58.4630181796263 -34.5495800291429,-58.4613225430589 -34.5487347180567,-58.4606414235426 -34.5483940407524,-58.4597089129448 -34.5479276615952,-58.4587649225401 -34.5474554295667,-58.4572935920612 -34.5467194936143));196;26;SENDERO SEGURO;NUÑEZ;V;2009;MANUELA PEDRAZA;1500;2300;NA;NA;NA;NA;NA;NA;NA;NA
MULTILINESTRING EMPTY;197;NA;SENDERO SEGURO;PALERMO;V;2009;3 DE FEBRERO;700;900;NA;NA;NA;NA;NA;NA;NA;NA
MULTILINESTRING ((-58.4974020113526 -34.5985518289249,-58.4960722411135 -34.5977604791558,-58.494715746012 -34.5969477125186));198;36;SENDERO SEGURO;PLAZA WILLIAMS;V;2009;JOSE PEDRO VARELA;3000;3100;NA;NA;NA;NA;NA;NA;NA;NA
MULTILINESTRING ((-58.5029945821657 -34.5735179684873,-58.5042461856298 -34.5742567352759,-58.5054003784691 -34.5749379151749,-58.5065456473399 -34.5756138757949));199;66;SENDERO SEGURO;VILLA PUEYRREDON;V;2010;AV. ALBARELLOS;2300;2500;NA;NA;NA;NA;NA;NA;NA;NA
MULTILINESTRING ((-58.5052655568309 -34.5770295293776,-58.5041367015308 -34.5763330575151,-58.5030003701929 -34.5756319295106,-58.5018696767208 -34.5749294509459,-58.5014793539669 -34.5746837116853));200;70;SENDERO SEGURO;VILLA PUEYRREDON;V;2010;LARSEN;2300;2500;NA;NA;NA;NA;NA;NA;NA;NA
MULTILINESTRING ((-58.504611922137 -34.5777523915261,-58.503484593701 -34.5770530257472,-58.5023474058184 -34.576350272248,-58.501419097824 -34.5757771883704,-58.5012149212258 -34.575650253177,-58.5006924033113 -34.5752920919199));201;71;SENDERO SEGURO;VILLA PUEYRREDON;V;2010;COCHRANE;2200;2500;NA;NA;NA;NA;NA;NA;NA;NA
MULTILINESTRING ((-58.5038036494065 -34.5786461544742,-58.5026747831695 -34.5779470635402,-58.5015397182431 -34.5772436680962,-58.5004057795969 -34.5765408954905,-58.4996569088552 -34.5760968100238));202;72;SENDERO SEGURO;VILLA PUEYRREDON;V;2010;BAZURCO;2200;2500;NA;NA;NA;NA;NA;NA;NA;NA
MULTILINESTRING ((-58.4901612418501 -34.571970689293,-58.4895586939313 -34.5727202920914,-58.488955199044 -34.5734711596893,-58.4883219901013 -34.5742590038583));203;38;SENDERO SEGURO;VILLA URQUIZA I;V;2009;BAUNESS;2500;2700;NA;NA;NA;NA;NA;NA;NA;NA
MULTILINESTRING ((-58.4884297961657 -34.5721009312623,-58.48903158326 -34.5713505594418));204;40;SENDERO SEGURO;VILLA URQUIZA I;V;2009;CAPDEVILA;2700;NA;NA;NA;NA;NA;NA;NA;NA;NA
MULTILINESTRING EMPTY;205;NA;SENDERO SEGURO;PIEDRA BUENA;V;2016;ZUVIRIA;6500;6600;NA;NA;NA;NA;NA;NA;NA;NA
MULTILINESTRING EMPTY;206;NA;SENDERO SEGURO;PIEDRA BUENA;V;2016;2 DE ABRIL DE 1982;6400;6700;NA;NA;NA;NA;NA;NA;NA;NA
